Lon,Lat,Cum,Climatology,RR
-0.5,-0.5,1169.96435546875,1246.88024902344,93.8313327510859
-0.5,-1,1023.50689697266,1115.75817871094,91.731964551238
-0.5,-1.5,906.1005859375,1001.35791015625,90.4871851260569
-0.5,-10,50.6558151245117,80.3767547607422,
-0.5,-10.5,44.3880386352539,73.4496612548828,
-0.5,-11,38.1202545166016,66.5225601196289,
-0.5,-11.5,35.162769317627,62.2718696594238,
-0.5,-12,35.515567779541,60.6975746154785,
-0.5,-12.5,35.8683700561523,59.1232795715332,
-0.5,-13,36.2211685180664,57.5489807128906,
-0.5,-13.5,36.5739707946777,55.9746856689453,
-0.5,-14,38.1119155883789,56.6618118286133,
-0.5,-14.5,40.8349990844727,59.6103553771973,
-0.5,-15,43.5580825805664,62.5589027404785,
-0.5,-15.5,46.2811698913574,65.507438659668,
-0.5,-16,49.0042533874512,68.4559860229492,
-0.5,-16.5,51.8506317138672,71.4345016479492,
-0.5,-17,54.8203086853027,74.4429779052734,
-0.5,-17.5,57.7899780273438,77.4514541625977,
-0.5,-18,60.759651184082,80.4599304199219,
-0.5,-18.5,63.7293243408203,83.4684066772461,
-0.5,-19,65.3331527709961,84.9882888793945,
-0.5,-19.5,65.5711441040039,85.0195922851563,
-0.5,-2,817.745666503906,903.679565429688,90.4906670225612
-0.5,-2.5,729.390686035156,806.001220703125,90.4949852804024
-0.5,-20,65.8091354370117,85.050895690918,
-0.5,-20.5,66.0471267700195,85.0821990966797,
-0.5,-21,66.2851104736328,85.1134948730469,
-0.5,-21.5,66.2138442993164,84.6939239501953,
-0.5,-22,65.8333358764649,83.8234786987305,
-0.5,-22.5,65.4528274536133,82.9530334472656,
-0.5,-23,65.0723114013672,82.0825958251953,
-0.5,-23.5,64.6918029785156,81.212158203125,
-0.5,-24,71.3929901123047,86.4322052001953,
-0.5,-24.5,85.1758651733399,97.7427444458008,
-0.5,-25,98.9587478637695,109.053276062012,90.7434892717005
-0.5,-25.5,112.741622924805,120.363822937012,93.6673663014211
-0.5,-26,126.524505615234,131.674362182617,96.0889451203564
-0.5,-26.5,142.718673706055,146.047348022461,97.7208252245057
-0.5,-27,161.324127197266,163.482757568359,98.6795975286928
-0.5,-27.5,179.929580688477,180.918167114258,99.4535726060297
-0.5,-28,198.535034179688,198.353591918945,100.091474149264
-0.5,-28.5,217.140487670898,215.789001464844,100.626299856286
-0.5,-29,246.121429443359,245.221038818359,100.367175112437
-0.5,-29.5,285.477874755859,286.649719238281,99.5911928727731
-0.5,-3,641.035705566406,708.322814941406,90.5005023196145
-0.5,-3.5,552.680603027344,610.644409179688,90.5077643746531
-0.5,-30,324.834289550781,328.078399658203,99.0111783918717
-0.5,-30.5,364.190704345703,369.507049560547,98.5612330749396
-0.5,-31,403.547119140625,410.935699462891,98.2020105987572
-0.5,-31.5,447.594085693359,458.54541015625,97.6117252031464
-0.5,-32,496.33154296875,512.336120605469,96.8761566883465
-0.5,-32.5,545.069030761719,566.126892089844,96.280363709558
-0.5,-33,593.806518554688,619.917663574219,95.7879656357937
-0.5,-33.5,642.544006347656,673.708374023438,95.3742050897089
-0.5,-34,691.715637207031,728.376831054688,94.9667270725003
-0.5,-34.5,741.321350097656,783.9228515625,94.5656002526357
-0.5,-35,790.927062988281,839.468933105469,94.2175501435633
-0.5,-35.5,840.532836914063,895.014953613281,93.9127143653558
-0.5,-36,890.138610839844,950.560974121094,93.643504738124
-0.5,-36.5,928.126770019531,995.584228515625,93.2243343592666
-0.5,-37,954.497375488281,1030.08483886719,92.662015736293
-0.5,-37.5,980.867919921875,1064.58532714844,92.1361486870381
-0.5,-38,1007.23840332031,1099.0859375,91.6432800160645
-0.5,-38.5,1033.60888671875,1133.58630371094,91.1804318149488
-0.5,-39,1042.15551757813,1146.23583984375,90.9198160930116
-0.5,-39.5,1032.8779296875,1137.03442382813,90.8396358141951
-0.5,-4,471.230346679688,521.204528808594,90.4117905032136
-0.5,-4.5,396.684722900391,440.003143310547,90.1549747839908
-0.5,-40,1023.60052490234,1127.83288574219,90.7581732934439
-0.5,-5,322.139129638672,358.801788330078,89.781918629213
-0.5,-5.5,247.593505859375,277.600402832031,89.1906147590093
-0.5,-6,173.047897338867,196.399002075195,88.1103750581239
-0.5,-6.5,128.830108642578,149.987915039063,85.8936592384966
-0.5,-7,114.940139770508,138.367172241211,83.0689374573157
-0.5,-7.5,101.050178527832,126.746406555176,79.7262670195249
-0.5,-8,87.1602172851563,115.125640869141,75.7087792320985
-0.5,-8.5,73.2702407836914,103.504875183105,70.7891687749708
-0.5,-9,63.1913757324219,94.2309494018555,
-0.5,-9.5,56.9235916137695,87.3038558959961,
-0.5,0,1316.42175292969,1378.00231933594,95.531171062475
-0.5,0.5,1462.87915039063,1509.12438964844,96.935624420689
-0.5,1,1609.33654785156,1640.24645996094,98.1155324602797
-0.5,1.5,1679.9326171875,1698.94982910156,98.8806489992633
-0.5,10,1205.43005371094,1034.40368652344,116.533812612589
-0.5,10.5,1164.0380859375,982.280517578125,118.50363161101
-0.5,11,1122.64611816406,930.157409667969,120.694207936784
-0.5,11.5,1067.03295898438,868.160095214844,122.907395175808
-0.5,12,997.19873046875,796.288635253906,125.23081283846
-0.5,12.5,927.364379882813,724.417053222656,128.015260788978
-0.5,13,857.530029296875,652.545593261719,131.413044261099
-0.5,13.5,787.695678710938,580.674072265625,135.651945959559
-0.5,14,720.490234375,513.889038085938,140.203464362381
-0.5,14.5,655.913940429688,452.190612792969,145.05253357172
-0.5,15,591.337585449219,390.492126464844,151.433933073797
-0.5,15.5,526.761169433594,328.793640136719,160.210267210326
-0.5,16,462.184814453125,267.09521484375,173.041218549536
-0.5,16.5,424.912078857422,227.752075195313,186.567818753367
-0.5,17,414.942962646484,210.764389038086,196.875271263924
-0.5,17.5,404.973876953125,193.776672363281,208.990004841193
-0.5,18,395.004791259766,176.788955688477,223.43295695225
-0.5,18.5,385.035675048828,159.801223754883,240.94663732953
-0.5,19,388.118804931641,152.185363769531,255.030309957668
-0.5,19.5,404.254272460938,153.941360473633,262.602767194706
-0.5,2,1674.66735839844,1685.23461914063,99.3729501742864
-0.5,2.5,1669.40185546875,1671.51928710938,99.8733229310033
-0.5,20,420.389678955078,155.697357177734,270.004376808521
-0.5,20.5,436.525115966797,157.453338623047,277.240939940858
-0.5,21,452.660552978516,159.209350585938,284.317818842041
-0.5,21.5,437.021240234375,154.380096435547,283.081336470618
-0.5,22,389.607208251953,142.965621948242,272.518108159598
-0.5,22.5,342.193115234375,131.551147460938,260.121725913478
-0.5,23,294.779052734375,120.136665344238,245.369764417648
-0.5,23.5,247.364990234375,108.722183227539,227.520256576045
-0.5,24,208.071807861328,98.3368911743164,
-0.5,24.5,176.899475097656,88.9808044433594,
-0.5,25,145.727142333984,79.6247100830078,
-0.5,25.5,114.554832458496,70.2686309814453,
-0.5,26,83.3825073242188,60.9125328063965,
-0.5,26.5,62.4468879699707,55.1059417724609,
-0.5,27,51.7479782104492,52.8488578796387,
-0.5,27.5,41.049072265625,50.5917663574219,
-0.5,28,30.3501625061035,48.3346786499024,
-0.5,28.5,19.6512508392334,46.0775909423828,
-0.5,29,18.9123783111572,53.0311088562012,
-0.5,29.5,28.1335506439209,69.1952362060547,
-0.5,3,1664.13659667969,1657.80407714844,100.381982383717
-0.5,3.5,1658.87121582031,1644.08874511719,100.899128514019
-0.5,30,37.3547210693359,85.3593597412109,
-0.5,30.5,46.5758934020996,101.523483276367,45.8769655049273
-0.5,31,55.797061920166,117.687606811523,47.4111620007066
-0.5,31.5,77.1568374633789,144.794738769531,53.2870449016721
-0.5,32,110.655220031738,182.844833374023,60.5186474180456
-0.5,32.5,144.153594970703,220.894943237305,65.258893145345
-0.5,33,177.651977539063,258.945037841797,68.6060559490618
-0.5,33.5,211.150375366211,296.995147705078,71.0955640177284
-0.5,34,242.962753295898,327.558197021484,74.1739194760443
-0.5,34.5,273.089141845703,350.634155273438,77.8843526047079
-0.5,35,303.215545654297,373.710113525391,81.1365640586807
-0.5,35.5,333.341918945313,396.786102294922,84.010482478428
-0.5,36,363.468292236328,419.862060546875,86.5685010364849
-0.5,36.5,385.345092773438,431.769653320313,89.2478407896735
-0.5,37,398.972229003906,432.508850097656,92.2460266220731
-0.5,37.5,412.599395751953,433.248077392578,95.2339819336544
-0.5,38,426.226531982422,433.987274169922,98.211758120709
-0.5,38.5,439.853729248047,434.726470947266,101.17942169236
-0.5,39,447.711395263672,444.879638671875,100.636521959119
-0.5,39.5,449.799621582031,464.446746826172,96.846328380114
-0.5,4,1629.66369628906,1600.29663085938,101.835101372045
-0.5,4.5,1576.51416015625,1526.42785644531,103.281275528316
-0.5,40,451.887817382813,484.013916015625,93.3625671556569
-0.5,5,1523.36450195313,1452.55908203125,104.874529428632
-0.5,5.5,1470.21496582031,1378.69018554688,106.638531356277
-0.5,6,1417.0654296875,1304.82116699219,108.602271754531
